AA AB AM AR BA BB BM CA CB CM CQ CS DA DB DM EA EB EC EM EX FA FB FM GA GB GM HA HB HM IA IB IM JA JB JM LA
AA NA 0.0060946 0.073269 0.016893 0.049403 0.012693 0.043847 0.10818 0.031483 0.036576 0.017301 0.019958 0.036748 0.026601 0.047079 0.025316 0.037839 0.018395 0.041499 0.19075 0.037931 0.018225 0.029738 0.040287 0.016147 0.035195 0.081707 0.038458 0.071569 0.03436 0.065472 0.036522 0.026754 0.032144 0.047694 0.074711
AB 0.0060946 NA 0.075736 0.017836 0.052068 0.010415 0.044159 0.1063 0.030787 0.033797 0.016375 0.022354 0.034661 0.026499 0.050036 0.018789 0.038818 0.02004 0.039677 0.1882 0.03446 0.02155 0.02698 0.041933 0.019247 0.029152 0.085212 0.044812 0.072375 0.033563 0.069593 0.037946 0.033047 0.032302 0.048488 0.073596
AM 0.073269 0.075736 NA 0.075498 0.10603 0.074334 0.11389 0.16628 0.092616 0.095235 0.077779 0.080646 0.09638 0.088041 0.10359 0.11728 0.095434 0.075907 0.1014 0.23621 0.089467 0.079764 0.10086 0.096223 0.079321 0.098997 0.13894 0.10003 0.13603 0.095782 0.12247 0.10157 0.08965 0.092659 0.1062 0.12047
AR 0.016893 0.017836 0.075498 NA 0.037865 0.017035 0.033881 0.089617 0.021164 0.021726 0.0087446 0.0096578 0.028368 0.01925 0.042413 0.034509 0.023549 0.0082624 0.028972 0.16941 0.022838 0.0097132 0.019688 0.024734 0.0083686 0.028518 0.067804 0.031485 0.057868 0.020401 0.056336 0.023852 0.018696 0.024474 0.028118 0.060895
BA 0.049403 0.052068 0.10603 0.037865 NA 0.049833 0.038341 0.11314 0.050058 0.051604 0.044112 0.045704 0.063879 0.051145 0.077638 0.070202 0.052267 0.043629 0.059462 0.21045 0.056922 0.042203 0.054972 0.056529 0.045468 0.066167 0.10316 0.066827 0.094369 0.056587 0.093253 0.059608 0.053015 0.061052 0.063214 0.095107
BB 0.012693 0.010415 0.074334 0.017035 0.049833 NA 0.043883 0.10399 0.029139 0.036122 0.017068 0.019824 0.040198 0.024398 0.049975 0.031851 0.03412 0.022144 0.036943 0.19168 0.038469 0.016834 0.029034 0.040848 0.019872 0.035085 0.081657 0.041461 0.06745 0.03291 0.062903 0.034774 0.030541 0.033208 0.044473 0.075841
BM 0.043847 0.044159 0.11389 0.033881 0.038341 0.043883 NA 0.11321 0.045385 0.04668 0.038587 0.042939 0.057845 0.044329 0.075348 0.061392 0.050798 0.039103 0.056256 0.2061 0.052858 0.040993 0.047891 0.056518 0.040618 0.056549 0.1046 0.065715 0.093341 0.053554 0.095534 0.057259 0.051324 0.060614 0.062384 0.08813
CA 0.10818 0.1063 0.16628 0.089617 0.11314 0.10399 0.11321 NA 0.10552 0.061823 0.0963 0.10314 0.10634 0.109 0.13282 0.12792 0.10473 0.097207 0.11242 0.21829 0.095034 0.10118 0.10733 0.10167 0.099534 0.11595 0.14736 0.11989 0.13967 0.1086 0.14771 0.11367 0.10475 0.11752 0.11775 0.12237
CB 0.031483 0.030787 0.092616 0.021164 0.050058 0.029139 0.045385 0.10552 NA 0.038891 0.026287 0.028404 0.046064 0.031838 0.060254 0.04634 0.038699 0.028966 0.044659 0.19679 0.042275 0.027307 0.037781 0.042249 0.025149 0.044548 0.089591 0.046836 0.07607 0.038739 0.077831 0.040654 0.035966 0.046299 0.047878 0.077971
CM 0.036576 0.033797 0.095235 0.021726 0.051604 0.036122 0.04668 0.061823 0.038891 NA 0.030413 0.033102 0.039064 0.035517 0.065082 0.049101 0.040303 0.031426 0.047381 0.15877 0.031443 0.03292 0.032148 0.037847 0.031748 0.045857 0.082752 0.053753 0.071515 0.041558 0.080339 0.046541 0.036327 0.04905 0.051684 0.069841
