Pop_ID Pi Obs_Het AvgFst mean_EX mean_LA
AA 0.19197 0.16124 0.04362396 1e-05 0.0144391428571429
AB 0.18998 0.15431 0.04391136 0.000945666666666667 0.0142733333333333
AM 0.16309 0.14259 0.102685371428571 1e-05 1e-05
AR 0.20541 0.19932 0.0345268457142857 0.0349525 0.0521645
BA 0.18548 0.16282 0.0667223714285714 1e-05 1e-05
BB 0.1882 0.15395 0.043743 1e-05 0.01907025
BM 0.18328 0.15695 0.0635387142857143 1e-05 1e-05
CA 0.17629 0.15913 0.115320428571429 1e-05 1e-05
CB 0.18821 0.1634 0.0511568 0.00134075 0.03544
CM 0.20444 0.18499 0.0499410285714286 0.1008873 0.0012841
CQ 0.19345 0.16727 0.0407395885714286 0.00263833333333333 0.0330278888888889
CS 0.19683 0.184 0.0420220514285714 0.0018788 0.0259566
DA 0.20829 0.17834 0.0545605142857143 0.243418 0.0134296666666667
DB 0.18934 0.16507 0.0488238 0.004405 0.0187585714285714
DM 0.18249 0.16804 0.0728536571428571 1e-05 1e-05
EA 0.17838 0.14923 0.0600103428571429 0.0007655 0.021575
EB 0.18843 0.16735 0.0548298285714286 1e-05 0.00640466666666667
EC 0.19773 0.18147 0.0410642114285714 0.0016124 0.0694489
EM 0.18587 0.15564 0.0588288285714286 1e-05 0.018894875
EX 0.21868 0.20531 0.188341714285714 0.99993 1e-05
FA 0.21896 0.2037 0.0493022 0.2834794 0.0094334
FB 0.19469 0.17606 0.0416334628571429 0.000272 0.0231973333333333
FM 0.20034 0.18638 0.0485642571428571 0.1037915 0.029749
GA 0.20564 0.20387 0.0541992285714286 0.1330128 0.0107843
GB 0.19515 0.16953 0.0404365314285714 0.00590755555555555 0.0131547777777778
GM 0.18805 0.15021 0.0559091428571429 1e-05 0.00726066666666667
HA 0.19014 0.18399 0.0944729428571429 1e-05 1e-05
HB 0.18965 0.18088 0.0615430857142857 1e-05 0.0104615555555556
HM 0.19355 0.18335 0.0834321428571429 0.119284333333333 1e-05
IA 0.19207 0.16963 0.0522057142857143 1e-05 0.0283037777777778
IB 0.1769 0.16434 0.0870617714285714 1e-05 1e-05
IM 0.18874 0.17 0.0549920857142857 1e-05 0.001097
JA 0.19884 0.18339 0.0484780857142857 0.0267247777777778 0.0920124444444444
JB 0.19193 0.18331 0.0553786857142857 0.000461714285714286 0.00385957142857143
JM 0.19085 0.18075 0.0612873428571429 0.0001412 1e-05
LA 0.22589 0.19741 0.0824725714285714 0.00138651428571429 0.9982286
