# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
AA	0	5.13333	1.44333	0.00598	0.87658	0.02241	0.00075	0.16124	0.04301	0.00103	0.83876	0.04301	0.00103	0.17155	0.03394	0.00092	0.82845	0.03394	0.00092	0.19197	0.04308	0.00103	0.06881	0.08200	0.00598
AB	0	3.91139	1.26640	0.00561	0.88023	0.02399	0.00077	0.15431	0.04930	0.00111	0.84569	0.04930	0.00111	0.16288	0.03581	0.00094	0.83712	0.03581	0.00094	0.18998	0.05014	0.00112	0.07224	0.08730	0.00561
AM	0	4.41791	1.23731	0.00554	0.89396	0.02322	0.00076	0.14259	0.04859	0.00110	0.85741	0.04859	0.00110	0.14314	0.03514	0.00093	0.85686	0.03514	0.00093	0.16309	0.04607	0.00107	0.04269	0.06774	0.00554
AR	0	7.59497	0.28621	0.00266	0.86580	0.02029	0.00071	0.19932	0.04127	0.00101	0.80068	0.04127	0.00101	0.19182	0.02999	0.00086	0.80818	0.02999	0.00086	0.20541	0.03440	0.00092	0.01605	0.05699	0.00266
BA	0	9.51238	0.54791	0.00369	0.87543	0.02126	0.00073	0.16282	0.03537	0.00094	0.83718	0.03537	0.00094	0.17559	0.03231	0.00089	0.82441	0.03231	0.00089	0.18548	0.03606	0.00095	0.06178	0.06670	0.00369
BB	0	5.59237	1.83029	0.00674	0.87818	0.02193	0.00074	0.15395	0.03896	0.00098	0.84605	0.03896	0.00098	0.17009	0.03330	0.00091	0.82991	0.03330	0.00091	0.18820	0.04114	0.00101	0.07899	0.08435	0.00674
BM	0	5.05737	1.24563	0.00556	0.88130	0.02261	0.00075	0.15695	0.04467	0.00105	0.84305	0.04467	0.00105	0.16399	0.03469	0.00093	0.83601	0.03469	0.00093	0.18328	0.04358	0.00104	0.05805	0.07737	0.00556
CA	0	7.70410	1.33147	0.00575	0.88077	0.02281	0.00075	0.15913	0.04182	0.00102	0.84087	0.04182	0.00102	0.16440	0.03470	0.00093	0.83560	0.03470	0.00093	0.17629	0.03997	0.00100	0.04194	0.06178	0.00575
CB	0	6.75483	1.04211	0.00508	0.87669	0.02117	0.00072	0.16340	0.03801	0.00097	0.83660	0.03801	0.00097	0.17386	0.03227	0.00089	0.82614	0.03227	0.00089	0.18821	0.03789	0.00097	0.06098	0.07297	0.00508
CM	0	8.33995	1.17932	0.00541	0.86491	0.02088	0.00072	0.18499	0.03767	0.00097	0.81501	0.03767	0.00097	0.19192	0.03117	0.00088	0.80808	0.03117	0.00088	0.20444	0.03540	0.00094	0.05216	0.06848	0.00541
CQ	0	7.25219	1.27101	0.00561	0.87332	0.02077	0.00072	0.16727	0.03600	0.00094	0.83273	0.03600	0.00094	0.17972	0.03134	0.00088	0.82028	0.03134	0.00088	0.19345	0.03636	0.00095	0.06579	0.07406	0.00561
CS	0	7.88789	1.31157	0.00570	0.87072	0.02055	0.00071	0.18400	0.03942	0.00099	0.81600	0.03942	0.00099	0.18403	0.03087	0.00087	0.81597	0.03087	0.00087	0.19683	0.03536	0.00094	0.03438	0.06174	0.00570
DA	0	7.25539	1.53266	0.00616	0.86287	0.02162	0.00073	0.17834	0.03770	0.00097	0.82166	0.03770	0.00097	0.19341	0.03239	0.00090	0.80659	0.03239	0.00090	0.20829	0.03763	0.00097	0.07518	0.08201	0.00616
DB	0	5.36938	1.18480	0.00542	0.87780	0.02185	0.00074	0.16507	0.04325	0.00104	0.83493	0.04325	0.00104	0.17083	0.03343	0.00091	0.82917	0.03343	0.00091	0.18934	0.04125	0.00101	0.05598	0.07592	0.00542
DM	0	8.40057	0.61311	0.00390	0.87774	0.02159	0.00073	0.16804	0.03985	0.00099	0.83196	0.03985	0.00099	0.17145	0.03306	0.00091	0.82855	0.03306	0.00091	0.18249	0.03747	0.00096	0.03747	0.05827	0.00390
EA	0	2.68383	0.83194	0.00457	0.89158	0.02647	0.00082	0.14923	0.06570	0.00128	0.85077	0.06570	0.00128	0.14040	0.03749	0.00097	0.85960	0.03749	0.00097	0.17838	0.06488	0.00128	0.05191	0.07307	0.00457
EB	0	7.87549	1.01048	0.00501	0.87543	0.02097	0.00072	0.16735	0.03715	0.00096	0.83265	0.03715	0.00096	0.17616	0.03194	0.00089	0.82384	0.03194	0.00089	0.18843	0.03659	0.00095	0.05325	0.06687	0.00501
EC	0	9.37635	0.64945	0.00401	0.86909	0.02024	0.00071	0.18147	0.03505	0.00093	0.81853	0.03505	0.00093	0.18705	0.03007	0.00086	0.81295	0.03007	0.00086	0.19773	0.03362	0.00091	0.04403	0.05989	0.00401
EM	0	5.64004	1.50659	0.00611	0.87923	0.02199	0.00074	0.15564	0.04039	0.00100	0.84436	0.04039	0.00100	0.16839	0.03352	0.00091	0.83161	0.03352	0.00091	0.18587	0.04104	0.00101	0.07005	0.08094	0.00611
EX	0	8.86082	0.69298	0.00414	0.84953	0.02474	0.00078	0.20531	0.04661	0.00108	0.79469	0.04661	0.00108	0.20618	0.03604	0.00095	0.79382	0.03604	0.00095	0.21868	0.04055	0.00100	0.03443	0.06746	0.00414
FA	0	9.07026	0.75462	0.00433	0.85445	0.02100	0.00072	0.20370	0.03819	0.00097	0.79630	0.03819	0.00097	0.20674	0.03064	0.00087	0.79326	0.03064	0.00087	0.21896	0.03438	0.00092	0.04105	0.06537	0.00433
FB	0	7.79893	0.90929	0.00475	0.87210	0.02057	0.00071	0.17606	0.03733	0.00096	0.82394	0.03733	0.00096	0.18194	0.03104	0.00088	0.81806	0.03104	0.00088	0.19469	0.03558	0.00094	0.04834	0.06548	0.00475
FM	0	3.68796	0.26540	0.00257	0.87463	0.02347	0.00076	0.18638	0.05815	0.00120	0.81362	0.05815	0.00120	0.17236	0.03556	0.00094	0.82764	0.03556	0.00094	0.20034	0.04833	0.00109	0.02775	0.07043	0.00257
GA	0	9.69453	0.29105	0.00269	0.86296	0.02078	0.00072	0.20387	0.04163	0.00102	0.79613	0.04163	0.00102	0.19497	0.03082	0.00087	0.80503	0.03082	0.00087	0.20564	0.03429	0.00092	0.00557	0.05088	0.00269
GB	0	6.88660	1.45131	0.00600	0.87266	0.02093	0.00072	0.16953	0.03784	0.00097	0.83047	0.03784	0.00097	0.18040	0.03175	0.00089	0.81960	0.03175	0.00089	0.19515	0.03723	0.00096	0.06393	0.07676	0.00600
GM	0	6.14901	2.22727	0.00743	0.87730	0.02189	0.00074	0.15021	0.03670	0.00095	0.84979	0.03670	0.00095	0.17151	0.03345	0.00091	0.82849	0.03345	0.00091	0.18805	0.04052	0.00100	0.08923	0.08716	0.00743
HA	1	9.02509	0.53574	0.00364	0.87152	0.02222	0.00074	0.18399	0.04450	0.00105	0.81601	0.04450	0.00105	0.17950	0.03372	0.00091	0.82050	0.03372	0.00091	0.19014	0.03786	0.00097	0.01783	0.05549	0.00364
HB	0	7.92096	0.54802	0.00369	0.87382	0.02149	0.00073	0.18088	0.04245	0.00103	0.81912	0.04245	0.00103	0.17754	0.03249	0.00090	0.82246	0.03249	0.00090	0.18965	0.03709	0.00096	0.02324	0.05655	0.00369
HM	0	5.51638	0.36681	0.00302	0.87375	0.02247	0.00075	0.18335	0.04931	0.00111	0.81665	0.04931	0.00111	0.17568	0.03433	0.00092	0.82432	0.03433	0.00092	0.19355	0.04172	0.00102	0.02338	0.06392	0.00302
IA	0	8.20426	0.68052	0.00411	0.87249	0.02116	0.00072	0.16963	0.03620	0.00095	0.83037	0.03620	0.00095	0.18018	0.03184	0.00089	0.81982	0.03184	0.00089	0.19207	0.03620	0.00095	0.05839	0.06756	0.00411
IB	0	8.36370	0.64547	0.00400	0.88108	0.02170	0.00073	0.16434	0.04079	0.00101	0.83566	0.04079	0.00101	0.16615	0.03344	0.00091	0.83385	0.03344	0.00091	0.17690	0.03792	0.00097	0.03226	0.05551	0.00400
IM	0	8.08474	0.73824	0.00428	0.87521	0.02079	0.00072	0.17000	0.03708	0.00096	0.83000	0.03708	0.00096	0.17685	0.03153	0.00088	0.82315	0.03153	0.00088	0.18874	0.03594	0.00094	0.04878	0.06368	0.00428
JA	0	7.81639	0.71325	0.00421	0.86892	0.02095	0.00072	0.18339	0.03927	0.00099	0.81661	0.03927	0.00099	0.18590	0.03134	0.00088	0.81410	0.03134	0.00088	0.19884	0.03588	0.00094	0.04042	0.06422	0.00421
JB	0	6.25754	0.32490	0.00284	0.87444	0.02159	0.00073	0.18331	0.04563	0.00106	0.81669	0.04563	0.00106	0.17641	0.03282	0.00090	0.82359	0.03282	0.00090	0.19193	0.03887	0.00098	0.02085	0.05899	0.00284
JM	0	9.67911	0.38076	0.00307	0.87283	0.02053	0.00071	0.18075	0.03845	0.00098	0.81925	0.03845	0.00098	0.18093	0.03129	0.00088	0.81907	0.03129	0.00088	0.19085	0.03482	0.00093	0.02732	0.05414	0.00307
LA	8	31.24795	5.83045	0.01202	0.84612	0.01908	0.00069	0.19741	0.02437	0.00078	0.80259	0.02437	0.00078	0.22224	0.02659	0.00081	0.77776	0.02659	0.00081	0.22589	0.02747	0.00083	0.09858	0.05123	0.01202
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
AA	0	40330	40330	21574	53.49368	5.13333	1.44333	0.00598	0.87658	0.02241	0.00075	0.16124	0.04301	0.00103	0.83876	0.04301	0.00103	0.17155	0.03394	0.00092	0.82845	0.03394	0.00092	0.19197	0.04308	0.00103	0.06881	0.08200	0.00598
AB	0	40288	40288	18996	47.15052	3.91139	1.26640	0.00561	0.88023	0.02399	0.00077	0.15431	0.04930	0.00111	0.84569	0.04930	0.00111	0.16288	0.03581	0.00094	0.83712	0.03581	0.00094	0.18998	0.05014	0.00112	0.07224	0.08730	0.00561
AM	0	40315	40315	16529	40.99963	4.41791	1.23731	0.00554	0.89396	0.02322	0.00076	0.14259	0.04859	0.00110	0.85741	0.04859	0.00110	0.14314	0.03514	0.00093	0.85686	0.03514	0.00093	0.16309	0.04607	0.00107	0.04269	0.06774	0.00554
AR	0	40335	40335	27545	68.29057	7.59497	0.28621	0.00266	0.86580	0.02029	0.00071	0.19932	0.04127	0.00101	0.80068	0.04127	0.00101	0.19182	0.02999	0.00086	0.80818	0.02999	0.00086	0.20541	0.03440	0.00092	0.01605	0.05699	0.00266
BA	0	40335	40335	24441	60.59502	9.51238	0.54791	0.00369	0.87543	0.02126	0.00073	0.16282	0.03537	0.00094	0.83718	0.03537	0.00094	0.17559	0.03231	0.00089	0.82441	0.03231	0.00089	0.18548	0.03606	0.00095	0.06178	0.06670	0.00369
BB	0	40333	40333	21875	54.23599	5.59237	1.83029	0.00674	0.87818	0.02193	0.00074	0.15395	0.03896	0.00098	0.84605	0.03896	0.00098	0.17009	0.03330	0.00091	0.82991	0.03330	0.00091	0.18820	0.04114	0.00101	0.07899	0.08435	0.00674
BM	0	40335	40335	20027	49.65167	5.05737	1.24563	0.00556	0.88130	0.02261	0.00075	0.15695	0.04467	0.00105	0.84305	0.04467	0.00105	0.16399	0.03469	0.00093	0.83601	0.03469	0.00093	0.18328	0.04358	0.00104	0.05805	0.07737	0.00556
CA	0	40335	40335	20971	51.99207	7.70410	1.33147	0.00575	0.88077	0.02281	0.00075	0.15913	0.04182	0.00102	0.84087	0.04182	0.00102	0.16440	0.03470	0.00093	0.83560	0.03470	0.00093	0.17629	0.03997	0.00100	0.04194	0.06178	0.00575
CB	0	40335	40335	23419	58.06124	6.75483	1.04211	0.00508	0.87669	0.02117	0.00072	0.16340	0.03801	0.00097	0.83660	0.03801	0.00097	0.17386	0.03227	0.00089	0.82614	0.03227	0.00089	0.18821	0.03789	0.00097	0.06098	0.07297	0.00508
CM	0	40335	40335	26993	66.92203	8.33995	1.17932	0.00541	0.86491	0.02088	0.00072	0.18499	0.03767	0.00097	0.81501	0.03767	0.00097	0.19192	0.03117	0.00088	0.80808	0.03117	0.00088	0.20444	0.03540	0.00094	0.05216	0.06848	0.00541
CQ	0	40335	40335	24976	61.92141	7.25219	1.27101	0.00561	0.87332	0.02077	0.00072	0.16727	0.03600	0.00094	0.83273	0.03600	0.00094	0.17972	0.03134	0.00088	0.82028	0.03134	0.00088	0.19345	0.03636	0.00095	0.06579	0.07406	0.00561
CS	0	40335	40335	26035	64.54692	7.88789	1.31157	0.00570	0.87072	0.02055	0.00071	0.18400	0.03942	0.00099	0.81600	0.03942	0.00099	0.18403	0.03087	0.00087	0.81597	0.03087	0.00087	0.19683	0.03536	0.00094	0.03438	0.06174	0.00570
DA	0	40335	40335	25878	64.15768	7.25539	1.53266	0.00616	0.86287	0.02162	0.00073	0.17834	0.03770	0.00097	0.82166	0.03770	0.00097	0.19341	0.03239	0.00090	0.80659	0.03239	0.00090	0.20829	0.03763	0.00097	0.07518	0.08201	0.00616
DB	0	40335	40335	21744	53.90852	5.36938	1.18480	0.00542	0.87780	0.02185	0.00074	0.16507	0.04325	0.00104	0.83493	0.04325	0.00104	0.17083	0.03343	0.00091	0.82917	0.03343	0.00091	0.18934	0.04125	0.00101	0.05598	0.07592	0.00542
DM	0	40335	40335	23094	57.25549	8.40057	0.61311	0.00390	0.87774	0.02159	0.00073	0.16804	0.03985	0.00099	0.83196	0.03985	0.00099	0.17145	0.03306	0.00091	0.82855	0.03306	0.00091	0.18249	0.03747	0.00096	0.03747	0.05827	0.00390
EA	0	39817	39817	14566	36.58236	2.68383	0.83194	0.00457	0.89158	0.02647	0.00082	0.14923	0.06570	0.00128	0.85077	0.06570	0.00128	0.14040	0.03749	0.00097	0.85960	0.03749	0.00097	0.17838	0.06488	0.00128	0.05191	0.07307	0.00457
EB	0	40335	40335	24283	60.20330	7.87549	1.01048	0.00501	0.87543	0.02097	0.00072	0.16735	0.03715	0.00096	0.83265	0.03715	0.00096	0.17616	0.03194	0.00089	0.82384	0.03194	0.00089	0.18843	0.03659	0.00095	0.05325	0.06687	0.00501
EC	0	40335	40335	27585	68.38974	9.37635	0.64945	0.00401	0.86909	0.02024	0.00071	0.18147	0.03505	0.00093	0.81853	0.03505	0.00093	0.18705	0.03007	0.00086	0.81295	0.03007	0.00086	0.19773	0.03362	0.00091	0.04403	0.05989	0.00401
EM	0	40335	40335	21514	53.33829	5.64004	1.50659	0.00611	0.87923	0.02199	0.00074	0.15564	0.04039	0.00100	0.84436	0.04039	0.00100	0.16839	0.03352	0.00091	0.83161	0.03352	0.00091	0.18587	0.04104	0.00101	0.07005	0.08094	0.00611
EX	0	40335	40335	25838	64.05851	8.86082	0.69298	0.00414	0.84953	0.02474	0.00078	0.20531	0.04661	0.00108	0.79469	0.04661	0.00108	0.20618	0.03604	0.00095	0.79382	0.03604	0.00095	0.21868	0.04055	0.00100	0.03443	0.06746	0.00414
FA	0	40335	40335	29183	72.35156	9.07026	0.75462	0.00433	0.85445	0.02100	0.00072	0.20370	0.03819	0.00097	0.79630	0.03819	0.00097	0.20674	0.03064	0.00087	0.79326	0.03064	0.00087	0.21896	0.03438	0.00092	0.04105	0.06537	0.00433
FB	0	40335	40335	25665	63.62960	7.79893	0.90929	0.00475	0.87210	0.02057	0.00071	0.17606	0.03733	0.00096	0.82394	0.03733	0.00096	0.18194	0.03104	0.00088	0.81806	0.03104	0.00088	0.19469	0.03558	0.00094	0.04834	0.06548	0.00475
FM	0	40335	40335	20125	49.89463	3.68796	0.26540	0.00257	0.87463	0.02347	0.00076	0.18638	0.05815	0.00120	0.81362	0.05815	0.00120	0.17236	0.03556	0.00094	0.82764	0.03556	0.00094	0.20034	0.04833	0.00109	0.02775	0.07043	0.00257
GA	0	40335	40335	27928	69.24011	9.69453	0.29105	0.00269	0.86296	0.02078	0.00072	0.20387	0.04163	0.00102	0.79613	0.04163	0.00102	0.19497	0.03082	0.00087	0.80503	0.03082	0.00087	0.20564	0.03429	0.00092	0.00557	0.05088	0.00269
GB	0	40335	40335	24632	61.06855	6.88660	1.45131	0.00600	0.87266	0.02093	0.00072	0.16953	0.03784	0.00097	0.83047	0.03784	0.00097	0.18040	0.03175	0.00089	0.81960	0.03175	0.00089	0.19515	0.03723	0.00096	0.06393	0.07676	0.00600
GM	0	40333	40333	22164	54.95252	6.14901	2.22727	0.00743	0.87730	0.02189	0.00074	0.15021	0.03670	0.00095	0.84979	0.03670	0.00095	0.17151	0.03345	0.00091	0.82849	0.03345	0.00091	0.18805	0.04052	0.00100	0.08923	0.08716	0.00743
HA	1	40335	40335	24004	59.51159	9.02509	0.53574	0.00364	0.87152	0.02222	0.00074	0.18399	0.04450	0.00105	0.81601	0.04450	0.00105	0.17950	0.03372	0.00091	0.82050	0.03372	0.00091	0.19014	0.03786	0.00097	0.01783	0.05549	0.00364
HB	0	40335	40335	24190	59.97273	7.92096	0.54802	0.00369	0.87382	0.02149	0.00073	0.18088	0.04245	0.00103	0.81912	0.04245	0.00103	0.17754	0.03249	0.00090	0.82246	0.03249	0.00090	0.18965	0.03709	0.00096	0.02324	0.05655	0.00369
HM	0	40335	40335	21959	54.44155	5.51638	0.36681	0.00302	0.87375	0.02247	0.00075	0.18335	0.04931	0.00111	0.81665	0.04931	0.00111	0.17568	0.03433	0.00092	0.82432	0.03433	0.00092	0.19355	0.04172	0.00102	0.02338	0.06392	0.00302
IA	0	40335	40335	25092	62.20900	8.20426	0.68052	0.00411	0.87249	0.02116	0.00072	0.16963	0.03620	0.00095	0.83037	0.03620	0.00095	0.18018	0.03184	0.00089	0.81982	0.03184	0.00089	0.19207	0.03620	0.00095	0.05839	0.06756	0.00411
IB	0	40335	40335	22023	54.60022	8.36370	0.64547	0.00400	0.88108	0.02170	0.00073	0.16434	0.04079	0.00101	0.83566	0.04079	0.00101	0.16615	0.03344	0.00091	0.83385	0.03344	0.00091	0.17690	0.03792	0.00097	0.03226	0.05551	0.00400
IM	0	40335	40335	24726	61.30160	8.08474	0.73824	0.00428	0.87521	0.02079	0.00072	0.17000	0.03708	0.00096	0.83000	0.03708	0.00096	0.17685	0.03153	0.00088	0.82315	0.03153	0.00088	0.18874	0.03594	0.00094	0.04878	0.06368	0.00428
JA	0	40335	40335	26007	64.47750	7.81639	0.71325	0.00421	0.86892	0.02095	0.00072	0.18339	0.03927	0.00099	0.81661	0.03927	0.00099	0.18590	0.03134	0.00088	0.81410	0.03134	0.00088	0.19884	0.03588	0.00094	0.04042	0.06422	0.00421
JB	0	40335	40335	23212	57.54804	6.25754	0.32490	0.00284	0.87444	0.02159	0.00073	0.18331	0.04563	0.00106	0.81669	0.04563	0.00106	0.17641	0.03282	0.00090	0.82359	0.03282	0.00090	0.19193	0.03887	0.00098	0.02085	0.05899	0.00284
